label,active,slug,error_count,url,selector,type
"Municipality of Pratteln, Aktuelle Planungen",yes,pratteln_atuelleplanungen,0,https://www.pratteln.ch/aktuelleplanungen,"div#maincontent div.icms-content-col-a div.icms-block-container",static
"Municipality of Pratteln, News",yes,pratteln_aktuellesinformationen,0,https://www.pratteln.ch/aktuellesinformationen,"div#informationList_wrapper tr:has(td)",dynamic
"Municipality of Rothenburg, Aktuelle Projekte",yes,rothenburg_gebietsentwicklung,0,https://www.rothenburg.ch/projektethemen,div.icms-wysiwyg,static
"Municipality of Rothenburg, Amtsmitteilungen",yes,rothenburg_amtsmitteilungen,0,https://www.rothenburg.ch/amtsmitteilungen,"div#informationList_wrapper tr",dynamic
"Municipality of Rothenburg, Local planning revision",yes,rothenburg_ortsplanung,0,https://zukunft-rothenburg.ch/de/gesamtrevision-ortsplanung/participant/survey-document-groups-informational/2360,div.cms-content,dynamic
"Municipality of Rüdtlingen Alchenflüh, News",yes,ruedtlingen_alchenflueh_aktuelles,0,https://www.rual.ch/de/aktuelles/index.php,"#blockContentFullRight div.listEntryInner",dynamic
"Municipality of Spreitenbach, Amtsblatt",yes,spreitenbach_amtliche_publikationen,0,https://www.spreitenbach.ch/aktuelles/amtliche-publikationen/,"#content-area li",static
"Municipality of Spreitenbach, News",yes,spreitenbach_news,0,https://www.spreitenbach.ch/aktuelles/aktuelles/,div.article,static
"Municipality of St.Gallen, Amtliche Publikationen",yes,stgallen_amtliche_publikationen,0,https://publikationen.sg.ch/amtliche-publikationen/?filter%5Bauthority%5D%5B0%5D=10%2Ci81%2Ci84&filter%5Btype%5D%5B0%5D=tx_ekab_publication_domain_model_publication&timerange%5Btype%5D=4,div.publication-list__item,static
"Municipality of St.Gallen, Stadtplanung",yes,stgallen_stadtplanung,0,https://www.stadt.sg.ch/home/raum-umwelt/stadtplanung.html,div.row.paragraph.id-news,static
"Municipality of St.Gallen, städtische Projekte",yes,stgallen_staedtische_projekte,0,https://www.stadt.sg.ch/home/raum-umwelt/staedtische-projekte.html,"#content .topic-tile",static
"Municipality of Vernier, News",yes,vernier_actualites,0,https://www.vernier.ch/actualites,"div#articles-collection a.relative",static
"Municipality of Vernier, Plandirecteur",yes,vernier_plandirecteur,0,https://www.vernier.ch/fr/territoire/plandirecteur/,article.auto-rows-min,static
"Municipality of Vernier, Plandirecteur Publication",yes,vernier_plandirecteur_pub,0,https://www.vernier.ch/administration-et-autorites/publications/plan-directeur-communal,article.auto-rows-min,static
"Municiplaity of Pratteln, Auflagen / Mitwirkung",yes,mach_mit_pratteln,0,https://mach-mit.pratteln.ch/,div.views-row,dynamic
"Official gazette Canton Bern",yes,canton_bern_publikationen,0,https://amtsblatt.be.ch/#!/search/publications?keyword=lyssach,div.list-entry,dynamic
"Official gazette Canton of Geneva, Publications",yes,ge_publication,0,https://www.ge.ch/publication,"#block-gech-content .list-group-item",static
"Official gazette Canton of Vaud (building requests)",yes,faovd_building_requests,0,https://www.faovd.ch/permis-de-construire/district/morges/,div.annonce-camac,static
"Official gazette Canton of Vaud (municipalities)",yes,faovd_municipalities,0,https://www.faovd.ch/rubrique/communes,div.annonce-content,static
"Website Regionalkonferenz Emmental",yes,region_emmental,0,https://www.region-emmental.ch/,div.elementor-widget-container,static
"Website Regionalkonferenz Emmental, Alle News",yes,region_emmental_alle_news,0,https://www.region-emmental.ch/alle-news/,.ue_post_grid_item,static
